"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Roger Y. Tsien","for the discovery and development of the green fluorescent protein, GFP","Tsien","Roger Y.","3","1952-02-01","2008","55","New York, NY","0000-00-00","true","chemistry","USA","male","US","","Howard Hughes Medical Institute",""
"Martin Chalfie","for the discovery and development of the green fluorescent protein, GFP","Chalfie","Martin","3","1947-01-15","2008","60","Chicago, IL","0000-00-00","true","chemistry","USA","male","US","New York, NY","Columbia","USA"
"Osamu Shimomura","for the discovery and development of the green fluorescent protein, GFP","Shimomura","Osamu","3","1928-08-27","2008","79","Kyoto","0000-00-00","true","chemistry","Japan","male","JP","Massachusetts, MA","Boston University Medical School","USA"
"Paul Krugman","for his analysis of trade patterns and location of economic activity","Krugman","Paul","1","1953-02-28","2008","54","New York, NY","0000-00-00","true","economics","USA","male","US","Princeton, NJ","Princeton University","USA"
"Jean-Marie Gustave Le Clézio","author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization","Le Clézio","Jean-Marie Gustave","1","1940-04-13","2008","67","Nice","0000-00-00","true","literature","France","male","FR","","none",""
"Luc Montagnier","for their discovery of human immunodeficiency virus","Montagnier","Luc","4","1932-08-18","2008","75","Chabris","0000-00-00","true","medicine","France","male","FR","Paris","World Foundation for AIDS Research and Prevention","France"
"Françoise Barré-Sinoussi","for their discovery of human immunodeficiency virus","Barré-Sinoussi","Françoise","4","1947-07-30","2008","60","Paris","0000-00-00","true","medicine","France","female","FR","Paris","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","France"
"Harald zur Hausen","for his discovery of human papilloma viruses causing cervical cancer","zur Hausen","Harald","2","1936-03-11","2008","71","Gelsenkirchen","0000-00-00","true","medicine","Germany","male","DE","Heidelberg","German Cancer Research Center","Germany"
"Martti Ahtisaari","for his important efforts, on several continents and over more than three decades, to resolve international conflicts","Ahtisaari","Martti","1","1937-06-23","2008","70","Viipuri (now Vyborg)","0000-00-00","true","peace","Finland (now Russia)","male","RU","","none",""
"Yoichiro Nambu","for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics","Nambu","Yoichiro","2","1921-01-18","2008","86","Tokyo","2015-07-05","false","physics","Japan","male","JP","Chicago, IL","Enrico Fermi Institute, University of Chicago","USA"
"Toshihide Maskawa","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","Maskawa","Toshihide","4","1940-02-07","2008","67","Nagoya","0000-00-00","true","physics","Japan","male","JP","Kyoto","Kyoto Sangyo University","Japan"
"Makoto Kobayashi","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","Kobayashi","Makoto","4","1944-04-07","2008","63","Nagoya","0000-00-00","true","physics","Japan","male","JP","Tsukuba","High Energy Accelerator Research Organization (KEK)","Japan"
"Ada E. Yonath","for studies of the structure and function of the ribosome","Yonath","Ada E.","3","1939-06-22","2009","69","Jerusalem","0000-00-00","true","chemistry","British Mandate of Palestine (now Israel)","female","IL","Rehovot","Weizmann Institute of Science","Israel"
"Thomas A. Steitz","for studies of the structure and function of the ribosome","Steitz","Thomas A.","3","1940-08-23","2009","68","Milwaukee, WI","0000-00-00","true","chemistry","USA","male","US","New Haven, CT","Yale University","USA"
"Elinor Ostrom","for her analysis of economic governance, especially the commons","Ostrom","Elinor","2","1933-08-07","2009","75","Los Angeles, CA","2012-06-12","false","economics","USA","female","US","Bloomington, IN","Indiana University","USA"
"Oliver E. Williamson","for his analysis of economic governance, especially the boundaries of the firm","Williamson","Oliver E.","2","1932-09-27","2009","76","Superior, WI","0000-00-00","true","economics","USA","male","US","Berkeley, CA","University of California","USA"
"Herta Müller","who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed","Müller","Herta","1","1953-08-17","2009","55","Nitzkydorf, Banat","0000-00-00","true","literature","Romania","female","RO","","none",""
"Elizabeth H. Blackburn","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","Blackburn","Elizabeth H.","3","1948-11-26","2009","60","Hobart, Tasmania","0000-00-00","true","medicine","Australia","female","AU","San Francisco, CA","University of California","USA"
"Jack W. Szostak","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","Szostak","Jack W.","3","1952-11-09","2009","56","London","0000-00-00","true","medicine","United Kingdom","male","GB","Boston, MA","Harvard","USA"
"Carol W. Greider","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","Greider","Carol W.","3","1961-04-15","2009","47","San Diego, CA","0000-00-00","true","medicine","USA","female","US","Baltimore, MD","Johns Hopkins University School of Medicine","USA"
"Barack H. Obama","for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples","Obama","Barack H.","1","1961-08-04","2009","47","Honolulu, HI","0000-00-00","true","peace","USA","male","US","","none",""
"Willard S. Boyle","for the invention of an imaging semiconductor circuit - the CCD sensor","Boyle","Willard S.","4","1924-08-19","2009","84","Amherst, NS","2011-05-07","false","physics","Canada","male","CA","Murray Hill, NJ","Bell Laboratories","USA"
"George E. Smith","for the invention of an imaging semiconductor circuit - the CCD sensor","Smith","George E.","4","1930-05-10","2009","78","White Plains, NY","0000-00-00","true","physics","USA","male","US","Murray Hill, NJ","Bell Laboratories","USA"
"Charles Kuen Kao","for groundbreaking achievements concerning the transmission of light in fibers for optical communication","Kao","Charles Kuen","2","1933-11-04","2009","75","Shanghai","0000-00-00","true","physics","China","male","CN","Hong Kong","Chinese University of Hong Kong","China"
"Ei-ichi Negishi","for palladium-catalyzed cross couplings in organic synthesis","Negishi","Ei-ichi","3","1935-07-14","2010","74","Changchun","0000-00-00","true","chemistry","China","male","CN","West Lafayette, IN","Purdue University","USA"
"Richard F. Heck","for palladium-catalyzed cross couplings in organic synthesis","Heck","Richard F.","3","1931-08-15","2010","78","Springfield, MA","2015-10-09","false","chemistry","USA","male","US","","University of Delaware","USA"
"Akira Suzuki","for palladium-catalyzed cross couplings in organic synthesis","Suzuki","Akira","3","1930-09-12","2010","79","Mukawa","0000-00-00","true","chemistry","Japan","male","JP","Sapporo","Hokkaido University","Japan"
"Peter A. Diamond","for their analysis of markets with search frictions","Diamond","Peter A.","3","1940-04-29","2010","69","New York, NY","0000-00-00","true","economics","USA","male","US","Cambridge, MA","MIT","USA"
"Dale T. Mortensen","for their analysis of markets with search frictions","Mortensen","Dale T.","3","1939-02-02","2010","70","Enterprise, OR","2014-01-09","false","economics","USA","male","US","Evanston, IL","Northwestern University","USA"
"Christopher A. Pissarides","for their analysis of markets with search frictions","Pissarides","Christopher A.","3","1948-02-20","2010","61","Nicosia","0000-00-00","true","economics","Cyprus","male","CY","London","London School of Economics and Political Science","United Kingdom"
"Mario Vargas Llosa","for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat","Vargas Llosa","Mario","1","1936-03-28","2010","73","Arequipa","0000-00-00","true","literature","Peru","male","PE","","none",""
"Robert G. Edwards","for the development of in vitro fertilization","Edwards","Robert G.","1","1925-09-27","2010","84","Batley","2013-04-10","false","medicine","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Liu Xiaobo","for his long and non-violent struggle for fundamental human rights in China","Xiaobo","Liu","1","1955-12-28","2010","54","","0000-00-00","true","peace","China","male","CN","","none",""
"Konstantin Novoselov","for groundbreaking experiments regarding the two-dimensional material graphene","Novoselov","Konstantin","2","1974-08-23","2010","35","Nizhny Tagil","0000-00-00","true","physics","Russia","male","RU","Manchester","University of Manchester","United Kingdom"
"Andre Geim","for groundbreaking experiments regarding the two-dimensional material graphene","Geim","Andre","2","1958-10-21","2010","51","Sochi","0000-00-00","true","physics","Russia","male","RU","Manchester","University of Manchester","United Kingdom"
"Dan Shechtman","for the discovery of quasicrystals","Shechtman","Dan","1","1941-01-24","2011","69","Tel Aviv","0000-00-00","true","chemistry","British Mandate of Palestine (now Israel)","male","IL","Haifa","Technion - Israel Institute of Technology","Israel"
"Christopher A. Sims","for their empirical research on cause and effect in the macroeconomy","Sims","Christopher A.","2","1942-10-21","2011","68","Washington, DC","0000-00-00","true","economics","USA","male","US","Princeton, NJ","Princeton University","USA"
"Thomas J. Sargent","for their empirical research on cause and effect in the macroeconomy","Sargent","Thomas J.","2","1943-07-19","2011","67","Pasadena, CA","0000-00-00","true","economics","USA","male","US","New York, NY","New York University","USA"
"Tomas Tranströmer","because, through his condensed, translucent images, he gives us fresh access to reality","Tranströmer","Tomas","1","1931-04-15","2011","79","Stockholm","2015-03-26","false","literature","Sweden","male","SE","","none",""
"Jules A. Hoffmann","for their discoveries concerning the activation of innate immunity","Hoffmann","Jules A.","4","1941-08-02","2011","69","Echternach","0000-00-00","true","medicine","Luxembourg","male","LU","Strasbourg","University of Strasbourg","France"
"Bruce A. Beutler","for their discoveries concerning the activation of innate immunity","Beutler","Bruce A.","4","1957-12-29","2011","53","Chicago, IL","0000-00-00","true","medicine","USA","male","US","La Jolla, CA","The Scripps Research Institute","USA"
"Ralph M. Steinman","for his discovery of the dendritic cell and its role in adaptive immunity","Steinman","Ralph M.","2","1943-01-14","2011","67","Montreal","2011-09-30","false","medicine","Canada","male","CA","New York, NY","Rockefeller","USA"
"Ellen Johnson Sirleaf","for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work","Johnson Sirleaf","Ellen","3","1938-10-29","2011","72","Monrovia","0000-00-00","true","peace","Liberia","female","LR","","none",""
"Tawakkol Karman","for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work","Karman","Tawakkol","3","1979-02-07","2011","31","Ta'izz","0000-00-00","true","peace","Yemen","female","YE","","none",""
